Distortion_Type,Image,Average_SSIM_Score
White_Noise,003image_1_4.bmp,0.8874140414750874
White_Noise,003image_1_2.bmp,0.7821849138213424
White_Noise,003image_1_6.bmp,0.7121888609257633
White_Noise,003image_1_5.bmp,0.7255341382712353
White_Noise,003image_1_3.bmp,0.7688396364758703
White_Noise,003image_1_9.bmp,0.5352511106130211
White_Noise,003image_1_8.bmp,0.549587867064752
White_Noise,003image_1_7.bmp,0.562933144410224
White_Noise,003image_1_1.bmp,0.9440648170251944
White_Noise,007image_1_3.bmp,0.736710962145607
White_Noise,007image_1_2.bmp,0.8522394015244159
White_Noise,007image_1_6.bmp,0.6398118411113656
White_Noise,007image_1_5.bmp,0.7553402804901745
White_Noise,007image_1_7.bmp,0.7015356393436447
White_Noise,007image_1_9.bmp,0.4690563907721398
White_Noise,007image_1_8.bmp,0.5860071999648359
White_Noise,007image_1_1.bmp,0.9046391209343276
White_Noise,007image_1_4.bmp,0.8077399999000863
White_Noise,008image_1_6.bmp,0.6091895161075286
White_Noise,008image_1_3.bmp,0.664523650836751
White_Noise,008image_1_5.bmp,0.677854463106492
White_Noise,008image_1_4.bmp,0.8887855873429928
White_Noise,008image_1_2.bmp,0.7331885978357143
White_Noise,008image_1_8.bmp,0.3998410920087426
White_Noise,008image_1_7.bmp,0.46850603900770593
White_Noise,008image_1_1.bmp,0.9441197220722153
White_Noise,008image_1_9.bmp,0.3308336718927859
White_Noise,009image_1_8.bmp,0.4843223486016292
White_Noise,009image_1_6.bmp,0.572322126551519
White_Noise,009image_1_3.bmp,0.6447411748757488
White_Noise,009image_1_2.bmp,0.8435863337829365
White_Noise,009image_1_4.bmp,0.8571084606291528
White_Noise,009image_1_5.bmp,0.7711672854587066
White_Noise,009image_1_1.bmp,0.9295275089533827
White_Noise,009image_1_7.bmp,0.6831675075088168
White_Noise,009image_1_9.bmp,0.2853185637027982
White_Noise,010image_1_3.bmp,0.7764181715659789
White_Noise,010image_1_5.bmp,0.768726251654949
White_Noise,010image_1_1.bmp,0.9459231054949155
White_Noise,010image_1_4.bmp,0.8909501447420498
White_Noise,010image_1_7.bmp,0.6452023222998355
White_Noise,010image_1_2.bmp,0.8236992124078149
White_Noise,010image_1_6.bmp,0.7214452108131131
White_Noise,010image_1_8.bmp,0.5979212814579997
White_Noise,010image_1_9.bmp,0.5511693910014933
White_Noise,013image_1_8.bmp,0.837106364416982
White_Noise,013image_1_7.bmp,0.9491080771669241
White_Noise,013image_1_3.bmp,0.8626780112006995
White_Noise,013image_1_5.bmp,0.9534390949862133
White_Noise,013image_1_4.bmp,0.9579164944343992
White_Noise,013image_1_6.bmp,0.8414373822362712
White_Noise,013image_1_2.bmp,0.9746797239506416
White_Noise,013image_1_1.bmp,0.9791571233988277
White_Noise,013image_1_9.bmp,0.7245434655712937
White_Noise,015image_1_8.bmp,0.7209949686317274
White_Noise,015image_1_2.bmp,0.9242705203522936
White_Noise,015image_1_9.bmp,0.5943757198676619
White_Noise,015image_1_3.bmp,0.7971982638281458
White_Noise,015image_1_1.bmp,0.9351887964437361
White_Noise,015image_1_5.bmp,0.8595150554335241
White_Noise,015image_1_7.bmp,0.8480672251558752
White_Noise,015image_1_6.bmp,0.7324427989093765
White_Noise,015image_1_4.bmp,0.8704333315249666
White_Noise,021image_1_9.bmp,0.3249287084774233
White_Noise,021image_1_5.bmp,0.7142527825529891
White_Noise,021image_1_3.bmp,0.6635360323963849
White_Noise,021image_1_1.bmp,0.9057925294271131
White_Noise,021image_1_2.bmp,0.8104615388711207
White_Noise,021image_1_8.bmp,0.47153015595362713
White_Noise,021image_1_4.bmp,0.8095837731089814
White_Noise,021image_1_6.bmp,0.5673272760782533
White_Noise,021image_1_7.bmp,0.618455662428363
JPEG_2000,003image_2_3.bmp,0.8930149290696835
JPEG_2000,003image_2_2.bmp,0.9449083299413239
JPEG_2000,003image_2_4.bmp,0.8942248158496432
JPEG_2000,003image_2_1.bmp,0.9471458056562274
JPEG_2000,003image_2_6.bmp,0.8400939392630993
JPEG_2000,003image_2_8.bmp,0.8362502443403844
JPEG_2000,003image_2_7.bmp,0.8881436452120248
JPEG_2000,003image_2_9.bmp,0.7873335709594371
JPEG_2000,003image_2_5.bmp,0.8919873401347398
JPEG_2000,007image_2_2.bmp,0.8887021355496667
JPEG_2000,007image_2_1.bmp,0.9359807576793147
JPEG_2000,007image_2_3.bmp,0.8632390818221188
JPEG_2000,007image_2_4.bmp,0.8734693476115487
JPEG_2000,007image_2_6.bmp,0.800727671754353
JPEG_2000,007image_2_8.bmp,0.7506591012407893
JPEG_2000,007image_2_9.bmp,0.7218152978564375
JPEG_2000,007image_2_5.bmp,0.8261907254819009
JPEG_2000,007image_2_7.bmp,0.7761221549683373
JPEG_2000,008image_2_2.bmp,0.8699341606417221
JPEG_2000,008image_2_1.bmp,0.9300677793281045
JPEG_2000,008image_2_3.bmp,0.849133787140479
JPEG_2000,008image_2_4.bmp,0.8586984466660399
JPEG_2000,008image_2_7.bmp,0.73964876271141
JPEG_2000,008image_2_5.bmp,0.7985648279796578
JPEG_2000,008image_2_6.bmp,0.7777644544784146
JPEG_2000,008image_2_8.bmp,0.7188483892101669
JPEG_2000,008image_2_9.bmp,0.6978643270231037
JPEG_2000,009image_2_3.bmp,0.8787258809051642
JPEG_2000,009image_2_2.bmp,0.9083377884834924
JPEG_2000,009image_2_1.bmp,0.9122801794882995
JPEG_2000,009image_2_7.bmp,0.8190243239391494
JPEG_2000,009image_2_6.bmp,0.791740723842556
JPEG_2000,009image_2_8.bmp,0.7894124163608212
JPEG_2000,009image_2_5.bmp,0.8213526314208841
JPEG_2000,009image_2_9.bmp,0.75740090900507
JPEG_2000,009image_2_4.bmp,0.8252950224256912
JPEG_2000,010image_2_1.bmp,0.8592139350908872
JPEG_2000,010image_2_2.bmp,0.8155950231119822
JPEG_2000,010image_2_7.bmp,0.6312633809394566
JPEG_2000,010image_2_4.bmp,0.718720586509894
JPEG_2000,010image_2_3.bmp,0.7508021586478686
JPEG_2000,010image_2_8.bmp,0.5664705164753429
JPEG_2000,010image_2_9.bmp,0.5048281066587885
JPEG_2000,010image_2_6.bmp,0.6103088100668753
JPEG_2000,010image_2_5.bmp,0.675101674530989
JPEG_2000,013image_2_5.bmp,0.698478937401825
JPEG_2000,013image_2_1.bmp,0.8762998602093148
JPEG_2000,013image_2_6.bmp,0.6421070066210077
JPEG_2000,013image_2_7.bmp,0.6360008967707903
JPEG_2000,013image_2_8.bmp,0.5796289659899729
JPEG_2000,013image_2_4.bmp,0.7545200869669592
JPEG_2000,013image_2_3.bmp,0.7638867798633634
JPEG_2000,013image_2_2.bmp,0.8202587106441808
JPEG_2000,013image_2_9.bmp,0.5295582115702386
JPEG_2000,015image_2_1.bmp,0.8239994986291734
JPEG_2000,015image_2_2.bmp,0.7900134926040164
JPEG_2000,015image_2_3.bmp,0.7560816460056496
JPEG_2000,015image_2_5.bmp,0.6168944453560132
JPEG_2000,015image_2_4.bmp,0.6508804513811703
JPEG_2000,015image_2_7.bmp,0.5769817387749376
JPEG_2000,015image_2_9.bmp,0.509829085721433
JPEG_2000,015image_2_8.bmp,0.543049892176571
JPEG_2000,015image_2_6.bmp,0.5829625987576466
JPEG_2000,021image_2_8.bmp,0.6233805589227612
