Distortion_Type,Image,SSIM_Score
blur,im2_1_l.bmp,0.5544119426982426
blur,im2_1_r.bmp,0.5513715809182755
blur,im2_3_l.bmp,0.5185465679376784
blur,im2_3_r.bmp,0.5152228247404814
blur,im3_1_r.bmp,0.9804330372922878
blur,im3_2_l.bmp,0.5635789400564162
blur,im3_1_l.bmp,0.9805656675688064
blur,im3_3_l.bmp,0.49323733195730224
blur,im3_3_r.bmp,0.4976331826896089
blur,im3_2_r.bmp,0.5666783928419732
blur,im7_1_r.bmp,0.6022687773935219
blur,im7_1_l.bmp,0.5965933528591247
blur,im8_1_l.bmp,0.9996569449518832
blur,im8_1_r.bmp,0.9996190283953983
blur,im10_1_l.bmp,0.8487181348317764
blur,im10_1_r.bmp,0.8455258320711153
blur,im10_2_l.bmp,0.5744603529728723
blur,im10_2_r.bmp,0.5720020290217482
blur,im12_1_l.bmp,0.9982119511727123
blur,im12_2_l.bmp,0.5431319382444297
blur,im12_1_r.bmp,0.9981863327313473
blur,im12_2_r.bmp,0.5380373893869161
blur,im12_3_r.bmp,0.6326676297199341
blur,im12_3_l.bmp,0.6373979283106239
blur,im12_4_r.bmp,0.47291704976928106
blur,im12_4_l.bmp,0.478369123427589
blur,im13_1_l.bmp,0.6417349360699766
blur,im13_3_r.bmp,0.9995145868183007
blur,im13_3_l.bmp,0.999522322048438
blur,im13_1_r.bmp,0.6423636626619147
blur,im14_1_r.bmp,0.3648364914667504
blur,im14_2_l.bmp,0.7232256185572692
blur,im14_1_l.bmp,0.3600736587200199
blur,im14_3_l.bmp,0.41943504967701417
blur,im14_2_r.bmp,0.7262520000259154
blur,im14_4_r.bmp,0.9999999862205016
blur,im14_4_l.bmp,0.9999999967426917
blur,im14_3_r.bmp,0.4238343485647403
blur,im15_2_r.bmp,0.3884685226071972
blur,im15_2_l.bmp,0.38368859466087696
blur,im16_1_l.bmp,0.6946820755704266
blur,im16_2_l.bmp,0.9663463253079786
blur,im16_1_r.bmp,0.6902081206547552
blur,im16_2_r.bmp,0.9657828414302293
blur,im16_3_l.bmp,0.6163514179229466
blur,im16_3_r.bmp,0.6107030040639425
blur,im16_4_l.bmp,0.6942105860492259
blur,im16_4_r.bmp,0.6897290152305898
